grid,column,row,Northness,Vege_heig_max,Soil_moist_4_final,Soil_temp_4_adj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,E,15,0.26,19,27.50758167,14.50125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,F,15,0.34,24,25.71576716,15.19017361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,G,15,0.34,23,22.62395265,14.27909722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,H,15,0.26,24,19.63213814,15.06802083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,A,16,0.94,17,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,B,16,0.26,23,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,C,16,0.17,26,22.95669461,15.43479167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,D,16,0.26,28,25.26488011,15.42371528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,E,16,0.34,30,22.3730656,15.41263889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,F,16,0.17,31,28.68125109,15.2015625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,G,16,0.34,21,29.48943658,14.89048611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,H,16,0.5,41,29.79762207,14.97940972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,A,17,0.94,0,27.90580756,15.76833333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,B,17,0.26,21,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,C,17,0.17,20,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,D,17,0.26,17,23.33036404,14.33510417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,E,17,0.34,27,25.83854953,14.72402778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,F,17,0.17,40,29.14673502,15.21295139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,G,17,0.34,40,26.35492051,14.601875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,H,17,0.5,27,27.963106,15.69079861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,A,18,0.26,15,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,B,18,0.09,4,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,C,18,0.34,15,26.38766248,14.35756944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,D,18,0,20,27.69584797,14.94649306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,E,18,0.34,23,29.50403346,15.13541667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,F,18,0.26,24,29.31221895,15.32434028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,G,18,0,34,24.42040444,15.61326389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,H,18,0,44,21.12858993,16.5021875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,A,19,0.34,60,20.63677543,15.39111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,B,19,0.34,53,21.64496092,16.08003472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,C,19,0.09,19,26.55314641,15.96895833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,D,19,0.09,19,16.9613319,15.15788194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,E,19,0.09,19,22.36951739,15.94680556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
