Sample ID,Date,Grid,Cell,Species,Height (cm),Wet mass (mg),Chlorofil,Thickness (mm),FTT,Width at tear (mm),Number of leaves weighed,Dry mass (mg),Area (cm2),SLA,Image reference,Notes,
720,15/11/2023,4,A20,Poa binnata,12,45.1,,0.41,30.91,3.76,1,19.2,2.224,0.115833333,BG_20231115_005,,
721,15/11/2023,5,H2,Poa binnata,12,32.7,,0.23,4.33,3.31,1,12.9,1.761,0.136511628,BG_20231115_005,,
722,15/11/2023,5,F2,Pentameris airoides,2,6.4,,0.1,0.33,1.21,1,3.1,0.472,0.152258065,BG_20231115_006,,
723,15/11/2023,4,A20,Festuca caprina,18,16.1,,0.22,4.95,0.54,1,7.4,0.512,0.069189189,BG_20231115_006,,
724,15/11/2023,4,F19,Poa binnata,7,49,,0.17,4.88,3.68,1,20,2.542,0.1271,BG_20231115_006,,
725,15/11/2023,4,F19,Merxmuellera drakensbergensis,20,67.4,,0.61,34.87,0.73,1,45.6,1.321,0.028969298,BG_20231115_007,,
726,15/11/2023,5,D2,Poa binnata,4,20.4,,0.16,10.56,2.87,1,8.6,1.126,0.130930233,BG_20231115_007,,
727,15/11/2023,4,H19,Pentameris airoides,2,5,,0.08,1.85,1.93,1,2,0.343,0.1715,BG_20231115_007,,
728,15/11/2023,5,A1,Tenaxia disticha,10,19.6,,0.44,2.75,0.063,1,10,0.653,0.0653,BG_20231115_008,,
729,15/11/2023,5,D2,Festuca caprina,2,11.2,,0.31,3.46,0.29,1,5.3,0.395,0.074528302,BG_20231115_008,,
730,15/11/2023,5,C1,Festuca caprina,14,12.9,,0.22,2.73,0.41,1,6.2,0.492,0.079354839,BG_20231115_008,,
731,15/11/2023,5,G1,Pentameris airoides,3,5.3,,0.11,2.74,0.84,1,2,0.378,0.189,BG_20231115_009,,
732,15/11/2023,4,G20,Merxmuellera drakensbergensis,25,33.6,,0.4,18.09,0.48,1,15.1,0.761,0.050397351,BG_20231115_009,,
733,15/11/2023,5,C1,Poa binnata,5.5,24.8,,0.11,8.49,2.41,1,10,1.407,0.1407,BG_20231115_009,,
734,15/11/2023,4,C20,Pentameris airoides,4,6.9,,0.07,1.06,1.34,1,2.8,0.467,0.166785714,BG_20231115_010,,
735,15/11/2023,4,C20,Tenaxia disticha,13,22.3,,0.12,15.96,0.77,1,10.1,0.835,0.082673267,BG_20231115_010,,
736,15/11/2023,4,C20,Crassula setulosa,3,37.1,,0.91,,,6,6.4,0.749,0.11703125,BG_20231115_010,,
737,15/11/2023,5,E1,Ficinia stolonifera,14,16.4,,0.09,,,1,7.9,0.566,0.07164557,BG_20231115_011,,
738,15/11/2023,4,A20,Helichrysum albo-brunneum,2,161.4,,0.58,,,1,32.2,3.205,0.099534161,BG_20231115_011,,
739,15/11/2023,4,A20,Alepidea setifera,1,30.8,,0.2,,,1,7.1,1.011,0.142394366,BG_20231115_011,,
740,15/11/2023,4,A20,Gazania krebsiana,4,34.7,,0.18,,,1,9.7,0.798,0.082268041,BG_20231115_012,,
741,15/11/2023,4,G20,Craterocapsa tarsodes,0.5,11.1,,0.2,,,2,2.4,0.477,0.19875,BG_20231115_012,,
742,15/11/2023,4,E20,Crassula setulosa,0.5,23.1,,0.5,,,6,3.7,0.522,0.141081081,BG_20231115_012,,
743,15/11/2023,4,C20,Helichrysum subglomeratum,3,20.8,,0.21,,,1,6.5,0.753,0.115846154,BG_20231115_013,,
744,15/11/2023,4,C20,Senecio macrocephalus,2,92.2,,0.66,,,1,10,1.593,0.1593,BG_20231115_013,,
745,15/11/2023,5,B2,Carex zuluensis,7,42.9,,0.25,,,1,16.6,2.1,0.126506024,BG_20231115_013,,
746,15/11/2023,5,H2,Gazania krebsiana,5,31.5,,0.36,,,1,6.9,0.77,0.111594203,BG_20231115_014,,
747,15/11/2023,4,B19,Alepidea setifera,0.5,26,,0.22,,,1,6.1,0.862,0.141311475,BG_20231115_014,,
748,15/11/2023,4,C20,Ficinia stolonifera,4,8.4,,0.2,,,1,4.3,0.398,0.09255814,BG_20231115_014,,
749,15/11/2023,5,B2,Felicia rosulata,0.5,111,,0.87,,,1,8.3,1.419,0.170963855,BG_20231115_015,,
750,15/11/2023,4,G20,Gazania krebsiana,2,12.7,,0.41,,,1,2.9,0.318,0.109655172,BG_20231115_015,,
751,15/11/2023,4,D19,Senecio hastatus,2,76.3,,0.62,,,1,13.5,1.201,0.088962963,BG_20231115_015,,
752,15/11/2023,4,B19,Craterocapsa tarsodes,1,5.7,,0.17,,,3,1.2,0.255,0.2125,BG_20231115_016,,
753,15/11/2023,4,D19,Crassula setulosa,2,14.9,,0.85,,,6,2.3,0.329,0.143043478,BG_20231115_016,5 leaves weighed ,
754,15/11/2023,5,D2,Thesium sp.,3,5.9,,0.77,,,2,2,0.149,0.0745,BG_20231115_016,,
755,15/11/2023,4,F19,Senecio hastatus,2,40.6,,0.36,,,1,7.2,0.919,0.127638889,BG_20231115_017,,
756,15/11/2023,4,E20,Ficinia stolonifera,8,10.2,,0.33,,,1,4.2,0.317,0.07547619,BG_20231115_017,,
757,15/11/2023,5,D2,Gazania krebsiana,3,28.9,,0.37,,,1,6.4,0.565,0.08828125,BG_20231115_017,,
758,15/11/2023,4,H19,Rhodohypoxis baurii,1,10.2,,0.44,,,1,2.2,0.286,0.13,BG_20231115_018,,
759,15/11/2023,4,H19,Ficinia stolonifera,9.5,12.2,,0.31,,,1,4.8,0.388,0.080833333,BG_20231115_018,,
760,15/11/2023,5,C1,Helichrysum subglomeratum,3,17.7,,0.29,,,1,4.7,0.599,0.127446809,BG_20231115_018,,
761,15/11/2023,4,F19,Hirpicium armerioides,3,15,,0.37,,,1,3.8,0.335,0.088157895,BG_20231115_019,,
762,15/11/2023,4,H19,Craterocapsa tarsodes,1,9,,0.16,,,2,2,0.398,0.199,BG_20231115_019,,
763,15/11/2023,5,H2,Felicia rosulata,0.5,310.9,,1.19,,,1,30.5,3.692,0.12104918,BG_20231115_019,,
764,15/11/2023,5,H2,Helichrysum subglomeratum,2,13.4,,0.27,,,1,4,0.49,0.1225,BG_20231115_020,,
765,15/11/2023,4,D19,Senecio macrocephalus,1,73.4,,0.51,,,1,9.6,1.18,0.122916667,BG_20231115_020,,
766,15/11/2023,4,B19,Helichrysum subglomeratum,3,12.9,,0.21,,,1,3.1,0.423,0.136451613,BG_20231115_020,,
767,15/11/2023,4,G20,Helichrysum subglomeratum,3,35.1,,0.19,,,1,9.2,1.36,0.147826087,BG_20231115_021,,
768,15/11/2023,5,A1,Alepidea setifera,1,19.4,,0.33,,,1,5.7,0.548,0.096140351,BG_20231115_021,,
769,15/11/2023,5,F2,Senecio macrocephalus,3,414.3,,1.01,,,1,45.6,5.141,0.112741228,BG_20231115_021,,
770,15/11/2023,5,B2,Helichrysum monticola,3,56.1,,0.28,,,1,11.4,2.567,0.225175439,BG_20231115_022,,
771,15/11/2023,5,D2,Carex zuluensis,5,60.8,,0.23,,,1,24.4,2.833,0.116106557,BG_20231115_022,,
772,15/11/2023,5,E1,Craterocapsa tarsodes,0.5,9.7,,0.16,,,2,2.5,0.405,0.162,BG_20231115_022,,
773,15/11/2023,5,C1,Helichrysum monticola,1,31.9,,0.24,,,1,7.4,1.276,0.172432432,BG_20231115_023,,
774,15/11/2023,4,D19,Ficinia stolonifera,9,15.3,,0.19,,,1,5.7,0.44,0.077192982,BG_20231115_023,,
775,15/11/2023,4,A20,Felicia rosulata,0.5,152.2,,0.72,,,1,32.7,2.291,0.070061162,BG_20231115_023,,
776,15/11/2023,5,F2,Senecio hastatus,1,31.3,,0.42,,,1,4.7,0.69,0.146808511,BG_20231115_024,,
777,15/11/2023,5,D2,Helichrysum subglomeratum,3,39.9,,0.25,,,1,10.9,1.287,0.118073394,BG_20231115_024,,
778,15/11/2023,5,A1,Carex zuluensis,3,16.3,,0.18,,,1,7.2,0.934,0.129722222,BG_20231115_024,,
779,15/11/2023,5,B2,Senecio hastatus,2,50.7,,0.63,,,1,9.9,0.882,0.089090909,BG_20231115_025,,
780,15/11/2023,5,A1,Sebaea marlothii,0.5,10.1,,0.3,,,1,3,0.308,0.102666667,BG_20231115_025,,
781,15/11/2023,4,E20,Senecio hastatus,4,74.8,,0.63,,,1,12.5,1.298,0.10384,BG_20231115_025,,
782,15/11/2023,5,A1,Erica woodii,5,5.6,,0.21,,,25,3.2,0.247,0.0771875,BG_20231115_026,27 leaves,
783,15/11/2023,5,G1,Gazania krebsiana,3,21.7,,0.53,,,1,5,0.561,0.1122,BG_20231115_026,,
784,15/11/2023,5,F2,Helichrysum subglomeratum,1,11.1,,0.29,,,1,3.8,0.378,0.099473684,BG_20231115_026,,
785,15/11/2023,5,C1,Gnidia baurii,3,5.5,,0.26,,,3,1.9,0.197,0.103684211,BG_20231115_027,,
786,15/11/2023,4,H19,Crassula setulosa,2,28.9,,0.63,,,6,4.4,0.56,0.127272727,BG_20231115_027,,
787,15/11/2023,5,G1,Helichrysum subglomeratum,3,40.9,,0.24,,,1,12.3,1.535,0.124796748,BG_20231115_027,,
788,15/11/2023,5,G1,Senecio speciosus,1,236.3,,0.8,,,1,24.7,3.125,0.126518219,BG_20231115_028,,
789,15/11/2023,5,G1,Crassula setulosa,1,31.7,,0.98,,,1,4.9,0.607,0.123877551,BG_20231115_028,6 leaves,
790,15/11/2023,5,F2,Ficinia stolonifera,2,9.6,,0.24,,,1,3.7,0.239,0.064594595,BG_20231115_028,,
791,15/11/2023,4,E20,Oxalis obliquifolia,0.5,10.7,,0.23,,,1,1.3,0.484,0.372307692,BG_20231115_029,,
792,15/11/2023,5,A1,Senecio speciosus,2,238.3,,0.94,,,1,19.2,2.725,0.141927083,BG_20231115_029,,
793,15/11/2023,4,F19,Oxalis obliquifolia,1,12.2,,0.32,,,1,1.6,0.515,0.321875,BG_20231115_029,,
794,15/11/2023,5,B2,Alepidea setifera,2,29.8,,0.3,,,1,7.5,0.9,0.12,BG_20231115_030,,
795,15/11/2023,5,H2,Carex zuluensis,4,14.2,,0.21,,,1,5.3,0.752,0.141886792,BG_20231115_030,,
796,15/11/2023,5,E1,Senecio hastatus,1,83.2,,0.63,,,1,14,1.291,0.092214286,BG_20231115_030,,
797,15/11/2023,4,F19,Helichrysum subglomeratum,3,30.6,,0.21,,,1,8.1,1.141,0.140864198,BG_20231115_031,,
798,15/11/2023,5,F2,Carex zuluensis,3,40.7,,0.22,,,1,10.7,1.95,0.182242991,BG_20231115_031,,
799,15/11/2023,4,H19,Helichrysum lineatum,0.5,24.5,,0.97,,,1,5.4,0.603,0.111666667,BG_20231115_031,,
800,15/11/2023,5,D2,Craterocapsa tarsodes,0.5,8.1,,0.2,,,3,1.9,0.355,0.186842105,BG_20231115_032,,
801,15/11/2023,5,D2,Helichrysum monticola,0.5,72.9,,0.28,,,1,16,3.07,0.191875,BG_20231115_032,,
802,15/11/2023,5,G1,Carex zuluensis,3,19.2,,0.41,,,1,8.3,0.961,0.115783133,BG_20231115_032,,
803,15/11/2023,5,G1,Alepidea setifera,1,34.3,,0.16,,,1,12.1,1.043,0.086198347,BG_20231115_033,,
804,15/11/2023,5,C1,Senecio hastatus,1,37.7,,0.6,,,1,5.3,0.663,0.12509434,BG_20231115_033,,
805,15/11/2023,5,G1,Thesium sp.,1,7.1,,0.46,,,2,3,0.167,0.055666667,BG_20231115_033,,
806,15/11/2023,5,A1,Athrixia fontana,1,32.2,,0.37,,,1,5.8,0.836,0.144137931,BG_20231115_034,,
807,15/11/2023,5,G1,Tenaxia disticha,9,47.5,,0.22,9.94,0.7,1,20,2.429,0.12145,BG_20231115_034,,
808,17/11/2023,5,C12,Festuca caprina,25,26.1,,0.31,4.1,0.26,1,11.7,1.67,0.142735043,BG_20231117_001,,
809,17/11/2023,5,E14,Poa binnata,8,39.3,,0.16,10.53,3.29,1,14.6,1.938,0.132739726,BG_20231117_001,,
810,17/11/2023,5,E4,Tenaxia disticha,5,12.3,,0.4,3.24,0.34,1,6.5,0.449,0.069076923,BG_20231117_001,,
811,17/11/2023,5,A9,Poa binnata,15,32.4,,0.19,9.29,2.85,1,13,2.183,0.167923077,BG_20231117_002,,
812,17/11/2023,5,A14,Festuca costata,10,44.4,,0.17,4.4,3.04,1,15.3,2.735,0.17875817,BG_20231117_002,,
813,17/11/2023,5,F5,Pentameris airoides,2,6.7,,0.19,0.93,1.36,2,2.3,0.363,0.157826087,BG_20231117_002,,
814,17/11/2023,5,F13,Poa binnata,10,42.3,,0.16,7.01,2.92,1,18.2,2.137,0.117417582,BG_20231117_003,,
815,17/11/2023,5,G12,Poa binnata,7,25.2,,0.12,8.38,2.75,1,9.6,1.58,0.164583333,BG_20231117_003,,
816,17/11/2023,5,E9 ,Pentameris airoides,4,5.9,,0.12,0.54,1.13,2,2.5,0.46,0.184,BG_20231117_003,,
817,17/11/2023,5,B5,Poa binnata,10,45.4,,0.15,9.81,3.3,1,17.2,2.786,0.161976744,BG_20231117_004,,
818,17/11/2023,5,D10,Merxmuellera drakensbergensis,25,68.2,,0.62,19.3,0.54,1,46.6,1.339,0.028733906,BG_20231117_004,,
819,17/11/2023,5,C6,Festuca caprina,21,41.9,,0.56,2.99,0.32,1,21.1,1.29,0.061137441,BG_20231117_004,,
820,17/11/2023,5,A4,Festuca caprina,19,18.3,,0.22,5.94,0.18,1,9,0.68,0.075555556,BG_20231117_005,,
821,17/11/2023,5,D16,Festuca costata,22,52.3,,0.16,2.25,2.39,1,19.9,3.552,0.178492462,BG_20231117_005,,
822,17/11/2023,5,F16,Poa binnata,8,102.4,,0.21,7.19,3.34,1,40.8,3.899,0.095563725,BG_20231117_005,,
823,17/11/2023,5,G16,Festuca caprina,18,21.8,,0.36,3.86,0.24,1,10.6,0.731,0.068962264,BG_20231117_006,,
824,17/11/2023,5,B19,Festuca caprina,24,30.8,,0.33,4.69,0.23,1,13.5,0.92,0.068148148,BG_20231117_006,,
825,17/11/2023,5,D19,Poa binnata,21,48.7,,0.14,10.87,3.06,1,19.8,2.784,0.140606061,BG_20231117_006,,
826,17/11/2023,5,F19,Festuca caprina,23,20.3,,0.27,4.22,0.33,1,9.6,0.773,0.080520833,BG_20231117_007,,
827,17/11/2023,5,H19,Poa binnata,9,60.8,,0.19,8.84,2.65,1,28.3,2.876,0.101625442,BG_20231117_007,,
828,17/11/2023,5,G20,Festuca caprina,21,17.1,,0.32,3.66,0.4,1,7.5,0.584,0.077866667,BG_20231117_007,,
829,17/11/2023,5,E20,Poa binnata,12,87.5,,0.17,5.09,3.4,1,36.4,4.437,0.121895604,BG_20231117_008,,
830,17/11/2023,5,C20,Festuca caprina,19,27.6,,0.27,2.77,0.26,1,13.2,1.127,0.085378788,BG_20231117_008,,
831,17/11/2023,5,A20,Poa binnata,5,21.4,,0.11,8.88,3.33,1,7.4,1.15,0.155405405,BG_20231117_008,,
832,17/11/2023,5,H20,Festuca caprina,11,10.8,,0.23,2.38,0.23,1,5.4,0.585,0.108333333,BG_20231117_009,,
833,17/11/2023,5,C20,Poa binnata,11,71.5,,0.17,6.09,4.36,1,28.2,3.661,0.129822695,BG_20231117_009,,
834,17/11/2023,5,E20,Scabiosa columbaria,1,29.7,,0.31,,,1,5.4,0.976,0.180740741,BG_20231117_009,,
835,17/11/2023,5,D13,Scabiosa columbaria,5,41.8,,0.23,,,1,7.2,1.222,0.169722222,BG_20231117_010,,
836,17/11/2023,5,F19,Scabiosa columbaria,1,32,,0.31,,,1,6.5,0.986,0.151692308,BG_20231117_010,,
837,17/11/2023,5,H5,Ficinia stolonifera,11,17.1,,0.24,,,1,7.1,0.771,0.108591549,BG_20231117_010,,
838,17/11/2023,5,G9,Senecio speciosus,1,144,,0.9,,,1,14.9,2.034,0.136510067,BG_20231117_011,,
839,17/11/2023,5,C4,Senecio speciosus,1,266.2,,0.67,,,1,22.7,2.85,0.125550661,BG_20231117_011,,
840,17/11/2023,5,E12,Helichrysum subglomeratum,4,42,,0.27,,,1,10.8,1.666,0.154259259,BG_20231117_011,,
841,17/11/2023,5,B8,Helichrysum flanaganii,2,6.2,,0.1,,,4,2.5,0.556,0.2224,BG_20231117_012,,
842,17/11/2023,5,E17,Ursinia montana,1,7.2,,0.09,,,2,2.3,0.199,0.086521739,BG_20231117_012,,
843,17/11/2023,5,C17,Senecio speciosus,0.5,165.5,,0.91,,,1,17.9,1.778,0.099329609,BG_20231117_012,,
844,17/11/2023,5,B16,Ficinia stolonifera,2,5.1,,0.59,,,2,2.6,0.18,0.069230769,BG_20231117_013,,
845,17/11/2023,5,A17,Gazania krebsiana,4,25.1,,0.38,,,1,7.2,0.63,0.0875,BG_20231117_013,,
846,17/11/2023,5,B19,Senecio speciosus,0.5,202.9,,1.16,,,1,18.5,2.131,0.115189189,BG_20231117_013,,
847,17/11/2023,5,B19,Hirpicium armerioides,1,11.9,,0.42,,,1,3.1,0.254,0.081935484,BG_20231117_014,,
848,17/11/2023,5,B19,Senecio macrocephalus,0.5,407.7,,0.81,,,1,35,5.749,0.164257143,BG_20231117_014,,
849,17/11/2023,5,G20,Gazania krebsiana,7,24.3,,0.61,,,1,4.3,0.378,0.087906977,BG_20231117_014,,
850,17/11/2023,5,F19,Helichrysum subglomeratum,2,13.8,,0.21,,,1,3.6,0.506,0.140555556,BG_20231117_015,,
851,17/11/2023,5,F19,Senecio speciosus,0.5,257.1,,1.14,,,1,17.5,2.783,0.159028571,BG_20231117_015,,
852,17/11/2023,5,D19,Scabiosa columbaria,1,31.1,,0.28,,,1,6.2,1.173,0.189193548,BG_20231117_015,,
853,17/11/2023,5,A5,Felicia rosulata,0.5,140.1,,0.7,,,1,34.5,2.578,0.074724638,BG_20231117_016,,
854,17/11/2023,5,G20,Psammotropha mucronata,0.5,5.3,,0.23,,,12,1.5,0.359,0.239333333,BG_20231117_016,11 leaves weighed ,
855,17/11/2023,5,H19,Helichrysum subglomeratum,3,34.6,,0.18,,,1,9.9,1.146,0.115757576,BG_20231117_016,,
856,17/11/2023,5,G20,Helichrysum subglomeratum,3,37.2,,0.29,,,1,9.8,1.444,0.147346939,BG_20231117_017,,
857,17/11/2023,5,E20,Senecio speciosus,0.5,222.1,,1.14,,,1,27.2,2.806,0.103161765,BG_20231117_017,,
858,17/11/2023,5,C20,Helichrysum flanaganii,5,5,,0.09,,,6,2.8,0.566,0.202142857,BG_20231117_017,,
859,17/11/2023,5,A20,Helichrysum subglomeratum,2,7.1,,0.2,,,1,2.6,0.294,0.113076923,BG_20231117_018,,
860,17/11/2023,5,E20,Ursinia montana,1,7,,0.34,,,2,1.6,0.194,0.12125,BG_20231117_018,1 leaf weighed ,
861,17/11/2023,5,E20,Helichrysum subglomeratum,3,19.6,,0.21,,,1,7.2,0.799,0.110972222,BG_20231117_018,,
862,17/11/2023,5,F19,Gazania krebsiana,2,6.2,,0.35,,,1,2.8,0.183,0.065357143,BG_20231117_019,,
863,17/11/2023,5,A20,Scabiosa columbaria,1,28.8,,0.51,,,1,6.4,0.768,0.12,BG_20231117_019,,
864,17/11/2023,5,H19,Zaluzianskya Sp1,2,55.5,,0.76,,,1,15.9,0.875,0.055031447,BG_20231117_019,,
865,17/11/2023,5,H13,Senecio macrocephalus,1,281.9,,0.81,,,1,25.3,4.27,0.168774704,BG_20231117_020,,
866,17/11/2023,5,E20,Gazania krebsiana,2,14.6,,0.51,,,1,4.1,0.433,0.105609756,BG_20231117_020,,
867,17/11/2023,5,E6,Merxmuellera drakensbergensis,18,80.4,,0.99,,15.73,1,52.4,1.556,0.029694656,BG_20231117_020,,
868,17/11/2023,5,A20,Senecio macrocephalus,2,235.7,,0.92,,,1,19.4,3.02,0.155670103,BG_20231117_021,,
869,17/11/2023,5,G20,Felicia rosulata,0.5,243.5,,0.74,,,1,54,3.669,0.067944444,BG_20231117_021,,
870,17/11/2023,5,A20,Ficinia stolonifera,2,6.7,,0.16,,,2,2.4,0.234,0.0975,BG_20231117_021,,
871,17/11/2023,5,A20,Senecio speciosus,0.5,272.6,,0.79,,,1,31.9,3.043,0.09539185,BG_20231117_022,,
872,17/11/2023,5,C9,Felicia rosulata,0.5,79.9,,0.72,,,1,15.5,1.473,0.095032258,BG_20231117_022,,
873,17/11/2023,5,C14,Alepidea setifera,0.5,50.7,,0.23,,,1,10.6,1.757,0.165754717,BG_20231117_022,,
874,17/11/2023,5,H19,Felicia rosulata,0.5,66.8,,0.63,,,1,11.7,1.346,0.115042735,BG_20231117_023,,
875,17/11/2023,5,A20,Gnidia baurii,7,5.7,,0.22,,,6,2.6,0.268,0.103076923,BG_20231117_023,,
876,17/11/2023,5,D19,Helichrysum subglomeratum,2,18,,0.28,,,1,4.6,0.769,0.167173913,BG_20231117_023,,
877,17/11/2023,5,D8,Craterocapsa tarsodes,5,6.3,,0.16,,,2,1.6,0.266,0.16625,BG_20231117_024,,
878,17/11/2023,5,G14,Buplerum mundi,4.5,11.1,,0.31,,,1,3.1,0.333,0.107419355,BG_20231117_024,,
879,17/11/2023,5,A12,Scabiosa columbaria,1,39.6,,0.39,,,1,7.5,0.83,0.110666667,BG_20231117_024,,
880,17/11/2023,5,H10,Alepidea setifera,1,25.4,,0.33,,,1,9.6,0.837,0.0871875,BG_20231117_025,,
881,17/11/2023,5,F10,Carex zuluensis,4,21.2,,0.2,,,1,8.3,0.972,0.117108434,BG_20231117_025,,
882,17/11/2023,5,F8,Helichrysum monticola,3,77.5,,0.19,,,1,21.7,2.988,0.137695853,BG_20231117_025,,
883,17/11/2023,5,H16,Craterocapsa tarsodes,1,5.4,,0.38,,,4,1.2,0.221,0.184166667,BG_20231117_026,3 leaves weighed ,
884,17/11/2023,5,G6,Senecio hastatus,1,97.3,,0.11,,,1,16.5,1.51,0.091515152,BG_20231117_026,,
885,17/11/2023,5,H8,Helichrysum subglomeratum,4,13.9,,0.19,,,1,4.5,0.56,0.124444444,BG_20231117_026,,
886,17/11/2023,5,B13,Ursinia montana,1,6.2,,0.29,,,1,2.4,0.152,0.063333333,BG_20231117_027,,
887,17/11/2023,5,G4,Gnidia baurii,5,5,,0.03,,,6,2.4,0.218,0.090833333,BG_20231117_027,,
888,17/11/2023,5,D5,Gazania krebsiana,6,67.8,,0.31,,,1,16.3,1.46,0.089570552,BG_20231117_027,,
889,17/11/2023,5,B10,Helichrysum flanaganii,7,5.6,,0.06,,,2,0.9,0.583,0.647777778,BG_20231117_028,,
890,17/11/2023,5,H19,Senecio macrocephalus,0.5,75.8,,0.19,,,1,5.3,1.137,0.214528302,BG_20231117_028,,
891,17/11/2023,5,E20,Helichrysum flanaganii,3,6.5,,0.07,,,3,2.6,0.741,0.285,BG_20231117_028,,
892,18/11/2023,6,G19,Merxmuellera drakensbergensis,31,46.6,,0.43,29.39,0.73,1,30.6,1.122,0.036666667,BG_20231118_001,,
893,18/11/2023,6,F20,Poa binnata,12,51.3,,0.06,6.98,3.59,1,18.6,3.114,0.167419355,BG_20231118_001,,
894,18/11/2023,6,C19,Merxmuellera drakensbergensis,36,67.6,,0.54,25.79,0.41,1,41.8,1.576,0.037703349,BG_20231118_001,,
895,18/11/2023,6,A1,Festuca caprina,13,17.9,,0.21,3.79,0.21,1,9.2,0.593,0.064456522,BG_20231118_002,,
896,18/11/2023,6,C1,Tenaxia disticha,3,9.3,,0.22,4.69,0.26,1,4.1,0.332,0.08097561,BG_20231118_002,,
897,18/11/2023,6,A19,Festuca caprina,21,31.2,,0.2,5.32,0.24,1,13.7,1.145,0.083576642,BG_20231118_002,,
898,18/11/2023,6,C1,Merxmuellera drakensbergensis,18,36.2,,0.51,21.75,0.5,1,21.7,0.716,0.032995392,BG_20231118_003,,
899,18/11/2023,6,H2,Tenaxia disticha,21,37.5,,0.22,5.46,0.5,1,19.3,1.406,0.072849741,BG_20231118_003,,
900,18/11/2023,6,D20,Festuca caprina,31,23.5,,0.2,2.81,0.39,1,10.5,0.829,0.078952381,BG_20231118_003,,
901,18/11/2023,6,F16,Merxmuellera drakensbergensis,57,99.5,,0.52,22.39,0.72,1,67.2,2.269,0.033764881,BG_20231118_004,,
902,18/11/2023,6,H2,Poa binnata,9,39.4,,0.11,14.19,3.39,1,14.5,2.26,0.155862069,BG_20231118_004,,
903,18/11/2023,6,B2,Festuca caprina,28,29.4,,0.25,8.35,0.34,1,13.1,1.003,0.076564885,BG_20231118_004,,
904,18/11/2023,6,B2,Tenaxia disticha,3,8.8,,0.24,7.52,0.26,1,3.6,0.33,0.091666667,BG_20231118_005,,
905,18/11/2023,6,B2,Merxmuellera drakensbergensis,24,71.1,,0.61,31.7,0.72,1,46,2.206,0.047956522,BG_20231118_005,,
906,18/11/2023,6,H2,Festuca caprina,21,16.6,,0.26,5.74,0.41,1,7.3,0.533,0.073013699,BG_20231118_005,,
907,18/11/2023,6,F2,Tenaxia disticha,17,48.7,,0.17,10.26,0.48,1,23.9,1.672,0.069958159,BG_20231118_006,,
908,18/11/2023,6,F2,Festuca caprina,28,10,,0.17,2.98,0.21,1,5.3,0.4,0.075471698,BG_20231118_006,,
909,18/11/2023,6,G1,Poa binnata,12,53.4,,0.26,11.17,2.73,1,19.1,2.653,0.138900524,BG_20231118_006,,
910,18/11/2023,6,E1,Festuca caprina,20,23.8,,0.22,2.48,0.36,1,11.4,0.783,0.068684211,BG_20231118_007,,
911,18/11/2023,6,D20,Tenaxia disticha,4,21,,0.2,4.48,2.41,1,8.1,1.014,0.125185185,BG_20231118_007,,
912,18/11/2023,6,D20,Merxmuellera drakensbergensis,22,55.5,,0.43,16.64,0.5,1,36.3,1.034,0.028484848,BG_20231118_007,,
913,18/11/2023,6,H8,Festuca caprina,23,36.6,,0.24,3.07,0.25,1,17.7,1.237,0.069887006,BG_20231118_008,,
914,18/11/2023,6,D20,Poa binnata,7,51.8,,0.17,24.64,4.17,1,20.8,2.114,0.101634615,BG_20231118_008,,
915,18/11/2023,6,B20,Merxmuellera drakensbergensis,21,41.4,,0.51,16.11,0.52,1,31.6,1.185,0.0375,BG_20231118_008,,
916,18/11/2023,6,E1,Poa binnata,10,49.2,,0.14,11.59,3.92,1,17,2.772,0.163058824,BG_20231118_009,,
917,18/11/2023,6,E19,Festuca caprina,19,13,,0.14,3.74,0.27,1,5.9,0.584,0.098983051,BG_20231118_009,,
918,18/11/2023,6,G19,Poa binnata,17,108.6,,0.13,8.74,4.84,1,40.5,5.768,0.142419753,BG_20231118_009,,
919,18/11/2023,6,F2,Merxmuellera drakensbergensis,23,79,,0.56,15.14,0.83,1,54.2,1.734,0.03199262,BG_20231118_010,,
920,18/11/2023,6,D2,Festuca caprina,17,19.8,,0.23,5.28,0.28,1,9.1,0.666,0.073186813,BG_20231118_010,,
921,18/11/2023,6,B2,Poa binnata,6,42.4,,0.2,14.64,3.6,1,16.3,2.027,0.124355828,BG_20231118_010,,
922,18/11/2023,6,D20,Poa binnata,6,17.7,,0.08,1.55,3.31,1,6.1,1.069,0.175245902,BG_20231118_011,,
923,18/11/2023,6,E9 ,Tenaxia disticha,20,62.6,,0.24,17.83,0.54,1,33.5,1.305,0.038955224,BG_20231118_011,,
924,18/11/2023,6,H16,Festuca caprina,32,23.7,,0.2,3.25,0.33,1,9.4,0.905,0.096276596,BG_20231118_011,,
925,18/11/2023,6,A9,Merxmuellera drakensbergensis,21,88.8,,0.53,12.45,0.55,1,63.1,1.623,0.025721078,BG_20231118_012,,
926,18/11/2023,6,H20,Festuca caprina,15,44.5,,0.22,4.05,0.5,1,21.7,1.613,0.074331797,BG_20231118_012,,
927,18/11/2023,6,C11,Festuca costata,12,25.4,,0.11,3.8,2.21,1,7.7,1.741,0.226103896,BG_20231118_012,,
928,18/11/2023,6,H12,Merxmuellera drakensbergensis,42,97,,0.63,6.8,0.71,1,62.3,1.828,0.029341894,BG_20231118_013,,
