Sample ID,Date,Grid,Cell,Species,Height (cm),Wet mass (mg),Chlorofil,Thickness (mm),FTT,Width at tear (mm),Number of leaves weighed,Dry mass (mg),Area (cm2),SLA,Image reference,Notes,
411,11/11/2023,3,G1,Merxmuellera drakensbergensis,25,71,972,0.23,21.87,0.76,1,48.4,1.549,0.032004132,BG_20231111_005,,
412,11/11/2023,3,D2,Poa binnata,7,16.1,983,0.11,5.12,3.8,1,6.2,0.931,0.15016129,BG_20231111_005,,
413,11/11/2023,3,C1,Poa binnata,4,23.4,1050,0.1,8.19,2.82,1,11.3,1.301,0.115132743,BG_20231111_005,,
414,11/11/2023,3,A1,Merxmuellera drakensbergensis,24,93.5,1154,0.46,22.12,0.79,1,65.6,1.911,0.029131098,BG_20231111_006,,
415,11/11/2023,1,H17,Tenaxia disticha,16,38,1198,0.11,12.1,0.88,1,21.7,2.055,0.094700461,BG_20231111_006,,
416,11/11/2023,3,E1,Festuca caprina,14,20.5,974,0.13,2.24,0.52,1,9.2,0.707,0.076847826,BG_20231111_006,,
417,11/11/2023,1,D13,Tenaxia disticha,22,99.4,866,0.19,7.74,0.74,1,50.4,2.224,0.044126984,BG_20231111_007,,
418,11/11/2023,1,A16,Poa binnata,6,19.3,1073,0.08,7.4,2.69,1,7.1,1.071,0.15084507,BG_20231111_007,,
419,11/11/2023,1,E14,Merxmuellera drakensbergensis,44,93.7,1031,0.24,24.34,0.77,1,63.4,1.419,0.022381703,BG_20231111_007,,
420,11/11/2023,1,f15,Festuca costata,7,30.4,1018,0.11,1.31,2.66,1,9.6,1.534,0.159791667,BG_20231111_008,,
421,11/11/2023,1,H13,Festuca caprina,21,39.8,978,0.13,35.97,0.38,1,18.6,1.006,0.054086022,BG_20231111_008,,
422,11/11/2023,1,H11,Pentameris airoides,5,5.8,1152,0.05,1.78,1.14,2,2,0.427,0.2135,BG_20231111_008,,
423,11/11/2023,1,F11,Poa binnata,11,91.8,1071,0.13,4.92,2.79,1,39.2,4.729,0.120637755,BG_20231111_009,,
424,11/11/2023,3,G1,Poa binnata,11,39.1,1158,0.14,10.04,3.36,1,16.5,1.83,0.110909091,BG_20231111_009,,
